Player_Name,Position_ID,Shots,Makes,Personal_Points,Total_Points,Assists,Concessions,Blocks,Block_Assists,Fouls,Years_Exp,Career_Shots,Career_Makes,Career_PP,Career_TP,Career_Assists,Career_Con
Gary  Price,2,200,51,2,14,29,25,398,29,7,23,9778,2732,379,1272,1652,925
Raul  Little,6,216,54,0,21,18,15,103,84,5,18,7318,1926,46,796,627,483
Roman  Richards,7,284,64,14,30,42,24,96,4,4,18,7023,1925,348,986,1239,666
Geoffrey  Lloyd,3,313,84,9,42,30,39,127,221,7,17,6890,1833,224,1033,864,1087
Jesus  Huff,3,289,63,7,36,41,44,166,211,7,17,7402,1954,195,1115,919,1153
Jan  Becker,5,346,98,5,31,53,30,0,0,0,16,5913,1615,235,784,901,560
John  Mcguire,2,542,140,12,46,75,41,697,61,9,16,7099,2130,235,987,1089,431
Robert  Holloway,5,561,118,35,70,94,33,463,32,8,16,6677,1575,442,901,1210,608
Herbert  Watkins,2,277,71,2,27,29,14,360,32,5,15,5952,1647,60,753,596,259
Stewart  Chavez,5,336,93,9,35,46,23,0,0,0,15,5779,1610,128,730,741,497
Ralph  Sharp,0,235,61,3,24,39,21,425,43,4,14,3926,1029,35,441,401,333
Drew  Kelley,9,397,114,23,67,67,53,244,2,4,13,5589,1632,241,906,926,716
Jessie  Strickland,5,315,59,16,45,36,58,0,0,0,13,4677,1051,268,681,782,697
Gerald  Luna,2,407,104,6,57,43,65,912,88,9,12,5233,1478,100,643,658,653
Fred  Clarke,7,419,113,1,44,27,44,211,2,1,12,4484,1231,32,612,344,422
Fernando  Rowe,11,219,47,8,24,26,17,260,58,4,12,1188,286,23,100,125,63
Jerry  Reed,8,359,84,4,46,27,21,151,8,5,12,4992,1257,37,699,386,387
Nicholas  Blake,0,194,40,7,19,29,30,325,22,2,11,4183,1069,64,486,493,608
Zachary  Lawson,6,225,61,5,32,26,26,132,9,0,11,1568,408,25,202,185,257
Lance  Goodwin,0,395,106,16,48,56,35,709,41,7,10,2303,571,86,266,323,248
Jack  Hudson,3,209,45,0,38,19,42,132,205,5,10,3859,916,23,557,279,478
Ian  Tucker,2,517,141,27,70,87,52,1378,102,8,9,3571,994,215,545,652,337
Luis  Chapman,1,200,57,6,23,14,14,69,1,1,9,2516,684,46,371,230,195
Harvey  Dean,7,508,146,8,80,44,46,245,5,9,9,3148,915,41,571,289,326
Paul  Vega,1,195,55,5,24,33,30,83,2,1,8,1313,338,25,144,149,153
Ernesto  Johnston,4,278,69,3,24,21,29,142,210,10,8,2079,565,32,258,192,162
Malcolm  Robbins,6,317,88,3,40,32,19,220,16,4,8,2543,715,28,269,270,118
Rodolfo  Jacobs,7,580,194,9,91,62,78,270,13,6,8,3372,1028,48,604,314,469
Toby  Gomez,8,221,53,2,21,23,22,325,58,6,8,1063,283,15,107,124,106
Alan  Hunter,0,462,119,16,49,65,37,866,65,6,7,2131,583,69,244,288,150
Tom  Cook,1,307,80,1,42,36,29,145,2,2,7,2421,656,18,379,198,184
Devin  Coleman,0,22,10,1,4,2,1,812,84,11,6,84,26,2,9,9,3
Lynn  Williams,10,210,37,8,15,19,15,40,115,15,6,994,244,36,107,114,53
Bobby  Long,8,227,46,7,23,20,12,92,2,2,5,1325,324,44,156,158,67
Jimmie  Cohen,3,284,69,1,33,18,25,122,140,5,5,1407,361,6,139,98,111
Johnny  Dennis,2,551,160,23,86,90,87,1224,115,11,5,2235,602,75,278,328,273
Dewey  Osborne,10,181,46,1,19,18,17,37,98,9,5,937,238,9,88,95,104
Dale  Hines,4,161,36,0,19,10,17,70,149,12,4,1053,244,3,156,86,107
Derek  Mann,5,19,7,0,1,2,1,0,0,0,4,41,13,1,3,4,4
Shane  Clark,0,191,37,4,12,17,14,391,38,8,4,773,163,16,61,74,52
Samuel  French,8,401,100,2,60,19,28,193,11,4,4,876,238,2,126,44,55
Tomas  Cunningham,1,249,69,6,32,19,20,103,8,2,4,702,209,10,97,48,44
Emilio  Cole,1,243,53,4,18,26,27,107,3,3,4,853,228,23,101,110,76
Jesse  Martin,0,209,59,6,20,37,27,415,35,3,4,884,209,14,66,106,92
Mark  Copeland,2,330,76,12,35,41,47,512,30,5,4,1367,326,55,167,198,167
Tim  Cox,1,183,39,3,20,15,11,118,0,0,3,201,42,3,20,16,11
Rene  Todd,1,24,3,0,1,0,2,80,4,0,3,159,28,0,20,12,9
Edwin  Wilkerson,0,138,31,8,18,21,38,244,21,4,3,244,53,12,33,32,55
Pete  Ingram,7,420,95,23,55,58,37,206,10,7,3,646,139,31,77,77,61
Randall  Parsons,0,161,43,4,17,26,22,300,12,2,3,707,179,21,77,99,76
Lowell  Marsh,4,524,132,9,69,47,54,212,327,20,2,972,260,14,123,92,90
Jose  Neal,6,212,54,13,28,44,18,243,23,5,2,233,59,13,31,46,20
Michael  Padilla,9,303,84,4,35,32,23,179,5,3,2,312,87,4,39,32,23
Randy  Gonzales,9,16,2,0,1,0,0,247,4,8,2,28,4,0,1,0,0
Virgil  Schwartz,0,293,66,1,30,29,14,446,33,20,1,293,66,1,30,29,14
Jeffery  Lucas,3,241,61,1,34,12,14,166,172,10,1,241,61,1,34,12,14
Marlon  Tran,4,166,34,0,20,13,17,64,119,9,1,166,34,0,20,13,17
Leon  Weaver,8,33,6,0,2,4,7,205,5,4,1,33,6,0,2,4,7
Nathaniel  Garrett,1,186,44,7,28,16,11,99,3,1,1,186,44,7,28,16,11
